model,description,id,category,vqa_score,aesthetic_score,fidelity_score,generation_time,timestamp
MLModel,a purple forest at dusk,0,landscape,0.7965157047470643,0.4092556476593018,0.6697625248703778,1.829399,2025-04-21T22:17:01.077821
MLModel,gray wool coat with a faux fur collar,1,fashion,0.9997133342662794,0.5574348449707032,0.8628010638773217,1.423806,2025-04-21T22:17:02.987075
MLModel,a lighthouse overlooking the ocean,2,landscape,0.6023924871331942,0.4810472011566162,0.5734611050875327,1.538955,2025-04-21T22:17:04.659418
MLModel,burgundy corduroy pants with patch pockets and silver buttons,3,fashion,0.6826508174401045,0.5389467239379883,0.6480896514709603,1.365247,2025-04-21T22:17:06.470169
MLModel,orange corduroy overalls,4,fashion,0.9839363047480356,0.5193052768707276,0.8345917023390731,1.432364,2025-04-21T22:17:07.988716
MLModel,a purple silk scarf with tassel trim,5,fashion,0.8060851594621122,0.467965030670166,0.7043080172060463,1.478425,2025-04-21T22:17:09.724826
MLModel,a green lagoon under a cloudy sky,6,landscape,0.4998784426701023,0.5254996299743653,0.5048008426887317,1.449805,2025-04-21T22:17:11.523415
MLModel,crimson rectangles forming a chaotic grid,7,abstract,0.2566971593494377,0.4509098529815674,0.2808941024411687,1.609664,2025-04-21T22:17:13.361187
MLModel,purple pyramids spiraling around a bronze cone,8,abstract,0.6468521381523591,0.4969790935516357,0.6100573689357699,1.530329,2025-04-21T22:17:15.551838
MLModel,magenta trapezoids layered on a transluscent silver sheet,9,abstract,0.6140338651199525,0.4398252487182617,0.5689622690845557,1.642648,2025-04-21T22:17:17.360547
MLModel,a snowy plain,10,landscape,0.4944889519808084,0.5234058856964111,0.5000138680253938,1.473855,2025-04-21T22:17:19.207617
MLModel,black and white checkered pants,11,fashion,0.6736965771670621,0.5163840293884278,0.635006572777092,1.355961,2025-04-21T22:17:20.908803
MLModel,a starlit night over snow-covered peaks,12,landscape,0.7445561775474455,0.4793485641479492,0.670376747173093,1.3432,2025-04-21T22:17:22.432653
MLModel,khaki triangles and azure crescents,13,abstract,0.3159141906744145,0.4868715286254882,0.339775568149336,1.664099,2025-04-21T22:17:23.825105
MLModel,a maroon dodecahedron interwoven with teal threads,14,abstract,0.4916230094367899,0.4375280380249023,0.479759729109473,1.654378,2025-04-21T22:17:25.765334
MLModel,a bright coral beach at midday,15,landscapes,0.9258050661866246,0.5120710372924805,0.7970136842649892,1.476848,2025-04-21T22:17:27.767277
MLModel,a misty morning over a tranquil fjord,16,landscapes,0.48771226491878,0.5394378662109375,0.4972482906358094,1.398932,2025-04-21T22:17:29.494188
MLModel,an arctic tundra blanketed in snow,17,landscapes,0.5108447869701812,0.5101145744323731,0.5106985772663807,1.60675,2025-04-21T22:17:31.045046
MLModel,rolling hills covered in wildflowers,18,landscapes,0.9856371995497332,0.5807099342346191,0.865004236567631,1.831104,2025-04-21T22:17:33.284022
MLModel,a peaceful hillside dotted with grazing animals,19,landscapes,0.9346567407196412,0.5295841217041015,0.8106460320062813,2.144081,2025-04-21T22:17:35.752963
MLModel,a tranquil lake surrounded by mountains,20,landscapes,0.5619080761647006,0.5879013061523437,0.5669212009895581,1.593418,2025-04-21T22:17:38.672860
MLModel,a rocky outcrop with panoramic views,21,landscapes,0.406008345508197,0.5490071773529053,0.428321140407524,1.7068,2025-04-21T22:17:40.686232
MLModel,a tranquil beach with soft white sands,22,landscapes,0.9989070937000536,0.5151258945465088,0.8409510284767878,1.46384,2025-04-21T22:17:43.049115
MLModel,a hidden waterfall cascading into a serene pool,23,landscapes,0.5003422408284319,0.586453628540039,0.5154802561935218,1.872328,2025-04-21T22:17:44.671795
MLModel,a serene bay with anchored sailboats,24,landscapes,0.4899833181035631,0.5261821746826172,0.4968190808946113,1.482776,2025-04-21T22:17:47.236990
MLModel,a peaceful orchard in full bloom,25,landscapes,0.999659694438257,0.5543498992919922,0.8612854173748032,1.793312,2025-04-21T22:17:48.941509
MLModel,a shimmering ice field reflecting the sun,26,landscapes,0.4921922241291551,0.5381572723388672,0.500746162799868,1.549181,2025-04-21T22:17:51.467966
MLModel,a calm river reflecting the changing leaves,27,landscapes,0.7496930166368769,0.5365593910217286,0.6945173878432338,1.591871,2025-04-21T22:17:53.541554
MLModel,a vibrant autumn forest ablaze with colors,28,landscapes,0.9650772712513932,0.5326714038848877,0.8302784866507625,1.543527,2025-04-21T22:17:55.521401
MLModel,a tranquil forest path lined with ferns,29,landscapes,0.749695136744348,0.5957420349121094,0.7128517605027627,2.053267,2025-04-21T22:17:57.462012
MLModel,a lush jungle vibrant with life,30,landscapes,0.602151020198671,0.6093453407287598,0.6035762616176787,2.040032,2025-04-21T22:18:00.332108
MLModel,a sunlit plateau with sprawling grasslands,31,landscapes,0.5756892301571219,0.5026591300964356,0.5594334889484172,1.527175,2025-04-21T22:18:03.259477
MLModel,a quiet pond with lily pads and frogs,32,landscapes,0.7494573486730283,0.4936402797698974,0.6790745724638704,1.298217,2025-04-21T22:18:04.979403
