id,description,category
0,a purple forest at dusk,landscape
1,gray wool coat with a faux fur collar,fashion
2,a lighthouse overlooking the ocean,landscape
3,burgundy corduroy pants with patch pockets and silver buttons,fashion
4,orange corduroy overalls,fashion
5,a purple silk scarf with tassel trim,fashion
6,a green lagoon under a cloudy sky,landscape
7,crimson rectangles forming a chaotic grid,abstract
8,purple pyramids spiraling around a bronze cone,abstract
9,magenta trapezoids layered on a transluscent silver sheet,abstract
10,a snowy plain,landscape
11,black and white checkered pants,fashion
12,a starlit night over snow-covered peaks,landscape
13,khaki triangles and azure crescents,abstract
14,a maroon dodecahedron interwoven with teal threads,abstract
15,a bright coral beach at midday,landscapes
16,a misty morning over a tranquil fjord,landscapes
17,an arctic tundra blanketed in snow,landscapes
18,rolling hills covered in wildflowers,landscapes
19,a peaceful hillside dotted with grazing animals,landscapes
20,a tranquil lake surrounded by mountains,landscapes
21,a rocky outcrop with panoramic views,landscapes
22,a tranquil beach with soft white sands,landscapes
23,a hidden waterfall cascading into a serene pool,landscapes
24,a serene bay with anchored sailboats,landscapes
25,a peaceful orchard in full bloom,landscapes
26,a shimmering ice field reflecting the sun,landscapes
27,a calm river reflecting the changing leaves,landscapes
28,a vibrant autumn forest ablaze with colors,landscapes
29,a tranquil forest path lined with ferns,landscapes
30,a lush jungle vibrant with life,landscapes
31,a sunlit plateau with sprawling grasslands,landscapes
32,a quiet pond with lily pads and frogs,landscapes
33,an endless field of sunflowers reaching for the sky,landscapes
34,a craggy shoreline kissed by foamy waves,landscapes
35,a vibrant city skyline at twilight,landscapes
36,a grassy hilltop with sweeping views,landscapes
37,"a narrow canyon with steep, colorful walls",landscapes
38,a secluded glen with singing streams,landscapes
39,a winding path through golden autumn leaves,landscapes
40,a deserted island surrounded by turquoise waters,landscapes
41,a rocky plateau under a blanket of stars,landscapes
42,a golden desert at sunset,landscapes
43,a sunlit glade filled with chirping birds,landscapes
44,a vibrant coral reef beneath crystal waters,landscapes
